LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01009538,Coventry 035D,30.845,-1.44319,52.3923,Burglary,20
E01009202,Birmingham 043B,57.943,-1.84739,52.5043,Burglary,20
E01010402,Walsall 027A,24.162,-2.03485,52.5863,Burglary,20
E01009260,Birmingham 073D,13.192,-1.97255,52.467,Burglary,20
E01009683,Coventry 032D,25.622,-1.56082,52.3994,Burglary,20
E01009037,Birmingham 105D,22.826,-1.85426,52.4238,Burglary,20
E01009539,Coventry 039A,66.621,-1.45452,52.3853,Burglary,20
E01009263,Birmingham 032C,36.934,-1.92566,52.5161,Burglary,20
E01010230,Solihull 016D,19.011,-1.77685,52.4231,Burglary,20
E01009212,Birmingham 126C,44.89,-1.96363,52.4004,Burglary,20
E01009401,Birmingham 031F,58.904,-1.85345,52.5098,Burglary,20
E01009120,Birmingham 123D,28.778,-1.92052,52.4063,Burglary,20
E01009590,Coventry 002A,20.072,-1.53592,52.4536,Burglary,20
E01010433,Wolverhampton 035E,46.113,-2.1272,52.5749,Burglary,20
E01009280,Birmingham 100A,21.777,-1.93012,52.4341,Burglary,20
E01010427,Wolverhampton 030A,25.043,-2.12815,52.567,Burglary,20
E01009636,Coventry 024A,29.082,-1.48974,52.4133,Burglary,20
E01009400,Birmingham 031E,60.058,-1.84007,52.5091,Burglary,20
E01009304,Birmingham 046A,46.1,-1.77463,52.4988,Burglary,20
E01009306,Birmingham 046B,51.219,-1.77841,52.4908,Burglary,20
E01009703,Coventry 025C,17.918,-1.59965,52.4075,Burglary,20
E01009089,Birmingham 042D,27.488,-1.80435,52.4939,Burglary,20
E01009499,Birmingham 119E,41.878,-1.97867,52.4131,Burglary,20
E01008963,Birmingham 107B,38.923,-1.90427,52.4313,Burglary,20
E01009979,Sandwell 016C,62.903,-2.0308,52.5258,Burglary,20
E01009527,Coventry 006C,19.988,-1.52843,52.4344,Burglary,20
E01009638,Coventry 024C,71.091,-1.5018,52.4133,Burglary,20
E01008929,Birmingham 106C,62.762,-1.98769,52.4306,Burglary,20
