LSOA code,LSOA name,LONG_,LAT,Bicycle theft
E01010013,Sandwell 012C,-1.94519,52.5404,1
E01010015,Sandwell 021A,-2.03347,52.511,1
E01010017,Sandwell 024A,-2.00927,52.5047,2
E01010023,Sandwell 037C,-1.99968,52.4659,1
E01010028,Sandwell 037E,-2.00607,52.4683,2
E01010029,Sandwell 009C,-2.05206,52.542,3
E01010031,Sandwell 014B,-2.0593,52.5429,1
E01010032,Sandwell 014C,-2.06277,52.538,1
E01010035,Sandwell 007C,-2.0505,52.5494,1
E01010039,Sandwell 025A,-2.06032,52.4846,3
E01010040,Sandwell 029B,-2.04592,52.4848,1
E01010052,Sandwell 023F,-1.96683,52.506,1
E01010054,Sandwell 028A,-1.97317,52.4939,1
E01010057,Sandwell 028D,-1.9684,52.4885,1
E01010058,Sandwell 031E,-1.97565,52.4846,2
E01010061,Sandwell 026B,-1.95936,52.4873,3
E01010062,Sandwell 026C,-1.9643,52.4967,1
E01010063,Sandwell 026D,-1.94794,52.4941,1
E01010064,Sandwell 026E,-1.96382,52.491,1
E01010065,Sandwell 026F,-1.95213,52.4869,3
E01010066,Sandwell 015A,-2.06393,52.5251,1
E01010068,Sandwell 015C,-2.07577,52.5267,1
E01010069,Sandwell 016E,-2.04235,52.5193,1
E01010070,Sandwell 015D,-2.06784,52.5209,2
E01010072,Sandwell 021D,-2.05793,52.5164,2
E01010074,Sandwell 014E,-2.07009,52.5353,2
E01010077,Sandwell 022A,-2.04491,52.5012,1
E01010082,Sandwell 022E,-2.0464,52.5073,1
E01010085,Sandwell 001A,-2.00806,52.5601,2
E01010087,Sandwell 001C,-2.01284,52.5651,1
E01010090,Sandwell 005A,-2.02987,52.5552,4
E01010092,Sandwell 003E,-2.00545,52.5537,1
E01010096,Sandwell 005C,-2.01385,52.5489,1
E01010097,Sandwell 005D,-2.03796,52.5458,2
E01010099,Sandwell 013E,-2.00761,52.5406,1
E01010100,Sandwell 013F,-2.02027,52.5441,1
E01010102,Sandwell 020C,-1.98929,52.5117,2
E01010103,Sandwell 017D,-2.00543,52.5258,5
E01010105,Sandwell 017F,-1.97752,52.5194,1
E01010106,Sandwell 019D,-1.9972,52.5206,7
E01010107,Sandwell 020D,-1.98643,52.5163,2
E01010109,Solihull 009A,-1.72677,52.451,2
E01010114,Solihull 009E,-1.75247,52.4674,1
E01010119,Solihull 003B,-1.7618,52.5063,1
E01010121,Solihull 001C,-1.77915,52.504,1
E01010123,Solihull 003C,-1.75867,52.5029,4
E01010124,Solihull 003D,-1.76855,52.5034,1
E01010125,Solihull 006A,-1.7367,52.4807,12
E01010127,Solihull 008C,-1.72863,52.4853,1
E01010128,Solihull 008D,-1.72437,52.4746,1
E01010129,Solihull 006B,-1.74387,52.4765,1
E01010131,Solihull 008F,-1.73113,52.4728,1
E01010133,Solihull 011B,-1.78016,52.4468,1
E01010137,Solihull 012B,-1.78692,52.4376,4
E01010139,Solihull 006C,-1.73782,52.489,1
E01010141,Solihull 006D,-1.73915,52.4855,2
E01010142,Solihull 007B,-1.75389,52.4831,1
E01010143,Solihull 007C,-1.74974,52.477,2
E01010145,Solihull 005A,-1.74483,52.4926,1
E01010146,Solihull 004A,-1.7517,52.4967,1
E01010147,Solihull 005B,-1.75105,52.4905,1
E01010148,Solihull 005C,-1.75681,52.4927,2
E01010149,Solihull 005D,-1.75634,52.487,1
E01010158,Solihull 012C,-1.78902,52.4469,4
E01010160,Solihull 012D,-1.79311,52.4438,1
